Keyword,Volume,KD,CPC,Opportunity Score,Difficulty,Intent,Primary Category,Cities,Long-Tail,Live Market,Tier,Word Count,Content Tier,Relevant,Relevance Note,Data Source
costa mesa apartments,3600,0,0.84,3600.0,Very Easy,Commercial,City + Apartments,Costa Mesa,No,Yes,T1,3,Long Tail,Yes,Local intent,Semrush
apartments costa mesa,1600,0,0.84,1600.0,Very Easy,Commercial,City + Apartments,Costa Mesa,No,Yes,T1,2,Long Tail,Yes,Local intent,Semrush
apartments in costa mesa,1300,0,0.91,1300.0,Very Easy,Commercial,City + Apartments,Costa Mesa,Yes,Yes,T1,4,Long Tail,Yes,Local intent,Semrush
apartments costa mesa rent,1600,0,0.68,1600.0,Very Easy,Commercial,City + Apartments,Costa Mesa,Yes,Yes,T1,4,Long Tail,Yes,Local intent,Semrush
apartments for rent costa mesa,1000,0,0.70,1000.0,Very Easy,Commercial,City + Apartments,Costa Mesa,Yes,Yes,T1,5,Long Tail,Yes,Local intent,Semrush
costa mesa apartments for rent,720,0,0.70,720.0,Very Easy,Commercial,City + Apartments,Costa Mesa,Yes,Yes,T1,5,Long Tail,Yes,Local intent,Semrush
luxury apartments orange county,720,0,1.54,720.0,Very Easy,Commercial,Luxury,Costa Mesa,Yes,Yes,T1,4,Long Tail,Yes,Regional luxury,Semrush
newport village apartments,3600,0,1.28,3600.0,Very Easy,Navigational,Competitor,Costa Mesa,No,Yes,T1,3,Gap,Yes,Top competitor,Semrush
harbor village apartments,3600,0,0.53,3600.0,Very Easy,Navigational,Competitor,Costa Mesa,No,Yes,T1,3,Gap,Yes,Top competitor,Semrush
580 anton,1000,0,1.05,1000.0,Very Easy,Navigational,Competitor,Costa Mesa,No,Yes,T1,2,Gap,Yes,Top competitor,Semrush
costa verde village,1900,0,1.68,1900.0,Very Easy,Navigational,Competitor,Costa Mesa,No,Yes,T1,3,Gap,Yes,Competitor,Semrush
lux costa mesa,1600,0,1.03,1600.0,Very Easy,Navigational,Competitor,Costa Mesa,No,Yes,T1,3,Gap,Yes,Competitor,Semrush
harbor at mesa verde,1900,0,1.04,1900.0,Very Easy,Navigational,Competitor,Costa Mesa,No,Yes,T1,4,Gap,Yes,Competitor,Semrush
apartments for rent in costa mesa,880,0,0.70,880.0,Very Easy,Commercial,City + Apartments,Costa Mesa,Yes,Yes,T2,6,Long Tail,Yes,Local intent,Semrush
apartments for rent in costa mesa ca,880,0,0.68,880.0,Very Easy,Commercial,City + Apartments,Costa Mesa,Yes,Yes,T2,7,Long Tail,Yes,Local intent,Semrush
costa mesa rentals,590,0,0.50,590.0,Very Easy,Commercial,City + Apartments,Costa Mesa,No,Yes,T2,3,Long Tail,Yes,Local intent,Semrush
blue sol costa mesa,720,0,0.98,720.0,Very Easy,Navigational,Competitor,Costa Mesa,No,Yes,T2,4,Gap,Yes,Competitor,Semrush
wimbledon apartments costa mesa,880,0,0.79,880.0,Very Easy,Navigational,Competitor,Costa Mesa,Yes,Yes,T2,4,Gap,Yes,Competitor,Semrush
580 anton costa mesa,880,0,1.05,880.0,Very Easy,Navigational,Competitor,Costa Mesa,Yes,Yes,T2,4,Gap,Yes,Competitor,Semrush
580 anton apartments,480,0,0.95,480.0,Very Easy,Navigational,Competitor,Costa Mesa,No,Yes,T2,3,Gap,Yes,Competitor,Semrush
costa verde village apartments,1600,0,1.07,1600.0,Very Easy,Navigational,Competitor,Costa Mesa,Yes,Yes,T2,4,Gap,Yes,Competitor,Semrush
the cape apartments,1600,0,0.60,1600.0,Very Easy,Navigational,Competitor,Costa Mesa,No,Yes,T2,3,Gap,No,Generic name,Semrush
3400 avenue of the arts,0,0,0.0,0.0,Very Easy,Navigational,Branded,Costa Mesa,Yes,Yes,T1,6,Quick Win,Yes,Own brand,Generated (Research)
3400 avenue of the arts apartments,0,0,0.0,0.0,Very Easy,Navigational,Branded,Costa Mesa,Yes,Yes,T1,6,Quick Win,Yes,Own brand,Generated (Research)
live3400 costa mesa,0,0,0.0,0.0,Very Easy,Navigational,Branded,Costa Mesa,Yes,Yes,T2,3,Quick Win,Yes,Own brand URL,Generated (Research)
