Keyword,Volume,KD,CPC,Opportunity Score,Difficulty,Intent,Primary Category,Cities,Long-Tail,Live Market,Tier,Word Count,Content Tier,Relevant,Relevance Note,Data Source
citigate apartments jacksonville,720,0,0.83,720.0,Very Easy,Navigational,Branded,Jacksonville,Yes,Yes,T1,3,Quick Win,Yes,Own brand,Semrush
citigate apartments,1600,0,0.83,1600.0,Very Easy,Navigational,Branded,Jacksonville,No,Yes,T1,2,Quick Win,Yes,Own brand,Semrush
citigate apartments in jacksonville fl,210,0,1.41,210.0,Very Easy,Navigational,Branded,Jacksonville,Yes,Yes,T2,6,Quick Win,Yes,Own brand,Semrush
citigate apartments jacksonville fl,170,0,1.41,170.0,Very Easy,Navigational,Branded,Jacksonville,Yes,Yes,T2,4,Quick Win,Yes,Own brand,Semrush
citigate apartments jacksonville fl reviews,40,0,0.0,40.0,Very Easy,Navigational,Branded,Jacksonville,Yes,Yes,T2,5,Quick Win,Yes,Brand reputation,Semrush
citigate apartments jacksonville reviews,30,0,1.30,30.0,Very Easy,Navigational,Branded,Jacksonville,Yes,Yes,T2,4,Quick Win,Yes,Brand reputation,Semrush
apartments jacksonville fl,6600,0,1.49,6600.0,Very Easy,Commercial,City + Apartments,Jacksonville,Yes,Yes,T1,3,Long Tail,Yes,Local intent,Semrush
apts in jax fl,14800,0,1.49,14800.0,Very Easy,Commercial,City + Apartments,Jacksonville,Yes,Yes,T1,4,Long Tail,Yes,Local intent,Semrush
apartments in jacksonville fl,4400,0,1.49,4400.0,Very Easy,Commercial,City + Apartments,Jacksonville,Yes,Yes,T1,5,Long Tail,Yes,Local intent,Semrush
apartments for rent jacksonville fl,2900,0,1.45,2900.0,Very Easy,Commercial,City + Apartments,Jacksonville,Yes,Yes,T1,5,Long Tail,Yes,Local intent,Semrush
apartment complexes jacksonville,2400,0,1.49,2400.0,Very Easy,Commercial,City + Apartments,Jacksonville,No,Yes,T1,3,Long Tail,Yes,Local intent,Semrush
jacksonville apartments for rent,2400,0,1.45,2400.0,Very Easy,Commercial,City + Apartments,Jacksonville,Yes,Yes,T1,4,Long Tail,Yes,Local intent,Semrush
apartments in jacksonville,1900,0,1.49,1900.0,Very Easy,Commercial,City + Apartments,Jacksonville,No,Yes,T1,3,Long Tail,Yes,Local intent,Semrush
apartments jacksonville florida,1900,0,1.49,1900.0,Very Easy,Commercial,City + Apartments,Jacksonville,Yes,Yes,T1,3,Long Tail,Yes,Local intent,Semrush
the gate apartments fl,2400,0,1.06,2400.0,Very Easy,Navigational,Competitor,Jacksonville,Yes,Yes,T1,4,Gap,Yes,Competitor,Semrush
southside commons,1600,0,0.94,1600.0,Very Easy,Navigational,Competitor,Jacksonville,No,Yes,T1,2,Gap,Yes,Top competitor,Semrush
avere southside quarter,1300,0,0.62,1300.0,Very Easy,Navigational,Competitor,Jacksonville,No,Yes,T1,3,Gap,Yes,Top competitor,Semrush
terraces at town center,1300,0,0.75,1300.0,Very Easy,Navigational,Competitor,Jacksonville,Yes,Yes,T1,4,Gap,Yes,Competitor,Semrush
aventon highgrove,1600,0,1.59,1600.0,Very Easy,Navigational,Competitor,Jacksonville,No,Yes,T1,2,Gap,Yes,Competitor,Semrush
sola apartments,1600,0,1.16,1600.0,Very Easy,Navigational,Competitor,Jacksonville,No,Yes,T1,2,Gap,No,Generic name,Semrush
maa town center,880,0,0.92,880.0,Very Easy,Navigational,Competitor,Jacksonville,No,Yes,T2,3,Gap,Yes,Competitor,Semrush
anzio apartments,1600,0,1.04,1600.0,Very Easy,Navigational,Competitor,Jacksonville,No,Yes,T2,2,Gap,Yes,Competitor,Semrush
apartments on southside blvd jax fl,1000,0,3.71,1000.0,Very Easy,Commercial,City + Apartments,Jacksonville,Yes,Yes,T1,6,Long Tail,Yes,Exact submarket,Semrush
