Keyword,Volume,KD,CPC,Opportunity Score,Difficulty,Intent,Primary Category,Cities,Long-Tail,Live Market,Tier,Word Count,Content Tier,Relevant,Relevance Note,Data Source
foxchase,4400,45,1.38,2420.0,Medium,Navigational,Branded,Alexandria,No,Yes,T1,1,Quick Win,Yes,Own brand,Semrush
the fields,4400,49,0.0,2244.0,Hard,Navigational,Competitor (The Fields of Alexandria),Alexandria,No,Yes,T1,2,Gap,Yes,Top competitor - comparison/gap,Semrush
apartments in alexandria va,3600,44,1.17,2016.0,Medium,Commercial,City + Apartments,Alexandria,Yes,Yes,T1,4,Long Tail,Yes,Local intent,Semrush
fox chase apartments,2900,32,1.05,1972.0,Medium,Navigational,Branded,Alexandria,No,Yes,T1,3,Quick Win,Yes,Own brand,Semrush
foxchase apartments,2900,38,1.03,1798.0,Medium,Navigational,Branded,Alexandria,No,Yes,T1,2,Quick Win,Yes,Own brand,Semrush
the cameron apartments,2400,27,1.06,1752.0,Easy,Navigational,Competitor (Cameron Square/Station),Alexandria,No,Yes,T1,3,Gap,Yes,Top competitor - comparison/gap,Semrush
apartments alexandria va,2900,52,1.17,1392.0,Hard,Commercial,City + Apartments,Alexandria,No,Yes,T1,3,Long Tail,Yes,Local intent,Semrush
cameron court apartments,1600,13,1.19,1392.0,Very Easy,Navigational,Competitor (Cameron Square/Station),Alexandria,No,Yes,T1,3,Gap,Yes,Top competitor - comparison/gap,Semrush
array at west alex,1900,27,1.13,1387.0,Easy,Commercial,General / Other,Alexandria,Yes,Yes,T1,4,Long Tail,No,No local relevance,Semrush
halstead alexandria,1900,29,1.43,1349.0,Easy,Commercial,General / Other,Alexandria,No,Yes,T1,2,Long Tail,Yes,Local intent,Semrush
cameron square,1900,30,1.78,1330.0,Easy,Navigational,Competitor (Cameron Square/Station),Alexandria,No,Yes,T1,2,Gap,Yes,Top competitor - comparison/gap,Semrush
the parker at huntington metro,1600,19,1.18,1296.0,Easy,Commercial,Out of Market,Alexandria,Yes,Yes,T1,5,Long Tail,No,Wrong market/submarket,Semrush
arbors on duke,1600,29,0.79,1136.0,Easy,Navigational,Competitor (Arbors on Duke),Alexandria,No,Yes,T1,3,Gap,Yes,Top competitor - comparison/gap,Semrush
800 carlyle,1600,30,1.59,1120.0,Easy,Commercial,Out of Market,Alexandria,No,Yes,T1,2,Long Tail,No,Wrong market/submarket,Semrush
the point at eisenhower square,1600,30,0.59,1120.0,Easy,Commercial,Out of Market,Alexandria,Yes,Yes,T1,5,Long Tail,No,Wrong market/submarket,Semrush
carlyle mill apartments,1600,32,0.67,1088.0,Medium,Commercial,Out of Market,Alexandria,No,Yes,T1,3,Long Tail,No,Wrong market/submarket,Semrush
the fields apartments,1600,34,0.64,1056.0,Medium,Navigational,Competitor (The Fields of Alexandria),Alexandria,No,Yes,T1,3,Gap,Yes,Top competitor - comparison/gap,Semrush
