Keyword,Volume,KD,CPC,Opportunity Score,Difficulty,Intent,Primary Category,Cities,Long-Tail,Live Market,Tier,Word Count,Content Tier,Relevant,Relevance Note,Data Source
indigo west apartments orlando,1300,0,1.16,1300.0,Very Easy,Navigational,Branded,Orlando,Yes,Yes,T1,4,Quick Win,Yes,Own brand,Semrush
indigo west orlando apartments,480,0,1.16,480.0,Very Easy,Navigational,Branded,Orlando,Yes,Yes,T1,4,Quick Win,Yes,Own brand,Semrush
indigo west apartments orlando fl,260,0,0.0,260.0,Very Easy,Navigational,Branded,Orlando,Yes,Yes,T2,5,Quick Win,Yes,Own brand,Semrush
indigo west apartments orlando reviews,20,0,0.0,20.0,Very Easy,Navigational,Branded,Orlando,Yes,Yes,T2,5,Quick Win,Yes,Brand reputation,Semrush
apartments orlando,14800,0,1.49,14800.0,Very Easy,Commercial,City + Apartments,Orlando,No,Yes,T1,2,Long Tail,Yes,Local intent,Semrush
apartments in orlando fl,9900,0,1.49,9900.0,Very Easy,Commercial,City + Apartments,Orlando,Yes,Yes,T1,4,Long Tail,Yes,Local intent,Semrush
apartments for rent orlando,5400,0,1.49,5400.0,Very Easy,Commercial,City + Apartments,Orlando,Yes,Yes,T1,4,Long Tail,Yes,Local intent,Semrush
apartments for rent in orlando fl,3600,0,1.49,3600.0,Very Easy,Commercial,City + Apartments,Orlando,Yes,Yes,T1,6,Long Tail,Yes,Local intent,Semrush
orlando apartments for rent,2400,0,1.49,2400.0,Very Easy,Commercial,City + Apartments,Orlando,Yes,Yes,T1,4,Long Tail,Yes,Local intent,Semrush
apartment complexes orlando,1600,0,1.49,1600.0,Very Easy,Commercial,City + Apartments,Orlando,No,Yes,T1,3,Long Tail,Yes,Local intent,Semrush
cheap apartments orlando,1300,0,0.89,1300.0,Very Easy,Commercial,Price / Budget,Orlando,No,Yes,T2,3,Long Tail,Yes,Budget keyword,Semrush
pet friendly apartments orlando,590,0,1.28,590.0,Very Easy,Commercial,Pet Friendly,Orlando,Yes,Yes,T2,4,Long Tail,Yes,Local intent,Semrush
1 bedroom apartments orlando fl,480,0,1.35,480.0,Very Easy,Commercial,Bedroom Type,Orlando,Yes,Yes,T2,5,Long Tail,Yes,Local intent,Semrush
2 bedroom apartments orlando fl,480,0,1.55,480.0,Very Easy,Commercial,Bedroom Type,Orlando,Yes,Yes,T2,5,Long Tail,Yes,Local intent,Semrush
3 bedroom apartments orlando fl,390,0,1.72,390.0,Very Easy,Commercial,Bedroom Type,Orlando,Yes,Yes,T2,5,Long Tail,Yes,Local intent,Semrush
4 bedroom apartments orlando fl,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Orlando,Yes,Yes,T2,5,Long Tail,Yes,Unique differentiator (4BR units),Generated (Research)
apartments with lake view orlando,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Orlando,Yes,Yes,T2,5,Long Tail,Yes,Lake view differentiator,Generated (Research)
apartments with screened patio orlando,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Orlando,Yes,Yes,T2,5,Long Tail,Yes,Florida essential amenity,Generated (Research)
metrowest apartments orlando,0,0,0.0,0.0,Very Easy,Commercial,City + Apartments,Orlando,Yes,Yes,T2,3,Long Tail,Yes,Neighborhood keyword,Generated (Research)
apartments near valencia college orlando,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Orlando,Yes,Yes,T2,5,Long Tail,Yes,Education proximity,Generated (Research)
apartments near universal studios orlando,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Orlando,Yes,Yes,T2,5,Long Tail,Yes,Employer proximity,Generated (Research)
apartments near disney world orlando,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Orlando,Yes,Yes,T2,5,Long Tail,Yes,Employer proximity,Generated (Research)
apartments near mall at millenia orlando,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Orlando,Yes,Yes,T2,6,Long Tail,Yes,Shopping proximity,Generated (Research)
apartments near lockheed martin orlando,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Orlando,Yes,Yes,T2,5,Long Tail,Yes,Employer proximity,Generated (Research)
apartments near i-4 orlando,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Orlando,Yes,Yes,T2,4,Long Tail,Yes,Commuter keyword,Generated (Research)
apartments near florida turnpike orlando,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Orlando,Yes,Yes,T2,5,Long Tail,Yes,Commuter keyword,Generated (Research)
newly renovated apartments orlando,0,0,0.0,0.0,Very Easy,Commercial,Property / Renter Type,Orlando,Yes,Yes,T2,4,Long Tail,Yes,Renovation keyword,Generated (Research)
apartments with two pools orlando,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Orlando,Yes,Yes,T2,5,Long Tail,Yes,Dual pool differentiator,Generated (Research)
apartments with game room orlando,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Orlando,Yes,Yes,T2,5,Long Tail,Yes,Amenity keyword,Generated (Research)
apartments with car care center orlando,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Orlando,Yes,Yes,T2,6,Long Tail,Yes,Amenity keyword,Generated (Research)
apartments with washer dryer orlando,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Orlando,Yes,Yes,T2,5,Long Tail,Yes,Amenity keyword,Generated (Research)
affordable apartments orlando west,0,0,0.0,0.0,Very Easy,Commercial,Price / Budget,Orlando,Yes,Yes,T2,4,Long Tail,Yes,Budget + submarket,Generated (Research)
1 bedroom apartments metrowest orlando,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Orlando,Yes,Yes,T2,5,Long Tail,Yes,Bedroom + neighborhood,Generated (Research)
2 bedroom apartments metrowest orlando,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Orlando,Yes,Yes,T2,5,Long Tail,Yes,Bedroom + neighborhood,Generated (Research)
3 bedroom apartments metrowest orlando,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Orlando,Yes,Yes,T2,5,Long Tail,Yes,Bedroom + neighborhood,Generated (Research)
4 bedroom apartments metrowest orlando,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Orlando,Yes,Yes,T2,5,Long Tail,Yes,Rare 4BR + neighborhood,Generated (Research)
apartments 32835 orlando,0,0,0.0,0.0,Very Easy,Commercial,City + Apartments,Orlando,No,Yes,T2,3,Long Tail,Yes,Zip code search,Generated (Research)
pet friendly apartments metrowest orlando,0,0,0.0,0.0,Very Easy,Commercial,Pet Friendly,Orlando,Yes,Yes,T2,5,Long Tail,Yes,Pet + neighborhood,Generated (Research)
indigo west floor plans,0,0,0.0,0.0,Very Easy,Navigational,Branded,Orlando,Yes,Yes,T2,4,Quick Win,Yes,Brand informational,Generated (AEO)
indigo west pricing,0,0,0.0,0.0,Very Easy,Navigational,Branded,Orlando,Yes,Yes,T2,3,Quick Win,Yes,Brand transactional,Generated (AEO)
indigo west pet policy,0,0,0.0,0.0,Very Easy,Navigational,Branded,Orlando,Yes,Yes,T2,4,Quick Win,Yes,Brand pet policy,Generated (AEO)
indigo west amenities,0,0,0.0,0.0,Very Easy,Navigational,Branded,Orlando,Yes,Yes,T2,3,Quick Win,Yes,Brand amenities,Generated (AEO)
is indigo west pet friendly,0,0,0.0,0.0,Very Easy,Navigational,Branded,Orlando,Yes,Yes,T2,5,Quick Win,Yes,Brand question,Generated (AEO)
how much is rent at indigo west orlando,0,0,0.0,0.0,Very Easy,Navigational,Branded,Orlando,Yes,Yes,T2,8,Quick Win,Yes,Brand pricing question,Generated (AEO)
does indigo west have 4 bedroom apartments,0,0,0.0,0.0,Very Easy,Navigational,Branded,Orlando,Yes,Yes,T2,7,Quick Win,Yes,Unique feature question,Generated (AEO)
