Keyword,Volume,KD,CPC,Opportunity Score,Difficulty,Intent,Primary Category,Cities,Long-Tail,Live Market,Tier,Word Count,Content Tier,Relevant,Relevance Note,Data Source
sorelle apartments,3600,35,1.2,2340.0,Medium,Navigational,Brand Collision,Jacksonville,No,Yes,T1,2,Quick Win,Yes,Name-collision SERP - disambiguation content,Semrush
drift dunwoody,2900,34,0.7,1914.0,Medium,Commercial,Out of Market,Jacksonville,No,Yes,T1,2,Long Tail,No,Wrong market/submarket,Semrush
apartments for rent jacksonville fl,2900,49,1.45,1479.0,Hard,Commercial,City + Apartments,Jacksonville,Yes,Yes,T1,5,Long Tail,Yes,Local intent,Semrush
the club at town center,1900,29,0.41,1349.0,Easy,Commercial,General / Other,Jacksonville,Yes,Yes,T1,5,Long Tail,Yes,Local intent,Semrush
apartments in jacksonville beach fl,1900,30,1.8,1330.0,Easy,Commercial,City + Apartments,Jacksonville,Yes,Yes,T1,5,Long Tail,Yes,Local intent,Semrush
mirage apartments,1600,18,0.65,1312.0,Easy,Navigational,Competitor (Mirage on Kernan),Jacksonville,No,Yes,T1,2,Gap,Yes,Top competitor - comparison/gap,Semrush
presidium regal,1900,33,0.83,1273.0,Medium,Commercial,General / Other,Jacksonville,No,Yes,T1,2,Long Tail,No,No local relevance,Semrush
jacksonville apartments for rent,2400,50,1.45,1200.0,Hard,Commercial,City + Apartments,Jacksonville,Yes,Yes,T1,4,Long Tail,Yes,Local intent,Semrush
avere southside quarter,1600,29,0.63,1136.0,Easy,Commercial,General / Other,Jacksonville,No,Yes,T1,3,Long Tail,No,No local relevance,Semrush
north beach on kernan,1600,29,0.91,1136.0,Easy,Navigational,Competitor (North Beach on Kernan),Jacksonville,Yes,Yes,T1,4,Gap,Yes,Top competitor - comparison/gap,Semrush
arelia james island,1600,30,1.0,1120.0,Easy,Commercial,General / Other,Jacksonville,No,Yes,T1,3,Long Tail,No,No local relevance,Semrush
luxury apartments jacksonville fl,1900,45,2.76,1045.0,Medium,Commercial,Luxury,Jacksonville,Yes,Yes,T1,4,Long Tail,Yes,Local intent,Semrush
the aston at town center,1300,22,1.21,1014.0,Easy,Commercial,General / Other,Jacksonville,Yes,Yes,T1,5,Long Tail,Yes,Local intent,Semrush
studio apartments jacksonville fl,1300,24,0.92,988.0,Easy,Commercial,Bedroom Type,Jacksonville,Yes,Yes,T1,4,Long Tail,Yes,Local intent,Semrush
paradise island apartments,1600,39,0.85,976.0,Medium,Commercial,City + Apartments,Jacksonville,No,Yes,T1,3,Long Tail,No,No local relevance,Semrush
the loree jax,1300,27,1.18,949.0,Easy,Commercial,General / Other,Jacksonville,No,Yes,T1,3,Long Tail,Yes,Local intent,Semrush
tropia wellen park,1300,27,0.73,949.0,Easy,Commercial,Out of Market,Jacksonville,No,Yes,T1,3,Long Tail,No,Wrong market/submarket,Semrush
aventon soraya,1300,28,0.68,936.0,Easy,Commercial,General / Other,Jacksonville,No,Yes,T1,2,Long Tail,No,No local relevance,Semrush
cielo point,1300,28,0.66,936.0,Easy,Navigational,Competitor (Ciel Jax),Jacksonville,No,Yes,T1,2,Gap,Yes,Top competitor - comparison/gap,Semrush
timberwalk at mandarin,1300,29,0.93,923.0,Easy,Commercial,Out of Market,Jacksonville,No,Yes,T1,3,Long Tail,No,Wrong market/submarket,Semrush
paradise island apartments in jacksonville,1300,34,0.94,858.0,Medium,Commercial,City + Apartments,Jacksonville,Yes,Yes,T1,5,Long Tail,Yes,Local intent,Semrush
mirage on kernan,1300,36,0.79,832.0,Medium,Navigational,Competitor (Mirage on Kernan),Jacksonville,No,Yes,T1,3,Gap,Yes,Top competitor - comparison/gap,Semrush
tropia luxury apartments,1300,36,1.33,832.0,Medium,Navigational,Competitor (Tropia),Jacksonville,No,Yes,T1,3,Gap,Yes,Top competitor - comparison/gap,Semrush
apartments for rent in jacksonville fl,1600,50,1.45,800.0,Hard,Commercial,City + Apartments,Jacksonville,Yes,Yes,T1,6,Long Tail,Yes,Local intent,Semrush
the villas at ortega,1000,22,0.66,780.0,Easy,Commercial,General / Other,Jacksonville,Yes,Yes,T1,4,Long Tail,No,No local relevance,Semrush
north beach apartments,1000,25,0.71,750.0,Easy,Navigational,Competitor (North Beach on Kernan),Jacksonville,No,Yes,T1,3,Gap,Yes,Top competitor - comparison/gap,Semrush
tropia,1000,25,0.82,750.0,Easy,Navigational,Competitor (Tropia),Jacksonville,No,Yes,T1,1,Gap,Yes,Top competitor - comparison/gap,Semrush
the mirage apartments,880,16,0.78,739.2,Easy,Navigational,Competitor (Mirage on Kernan),Jacksonville,No,Yes,T1,3,Gap,Yes,Top competitor - comparison/gap,Semrush
11 east forsyth jacksonville,1000,27,0.68,730.0,Easy,Commercial,General / Other,Jacksonville,Yes,Yes,T1,4,Long Tail,Yes,Local intent,Semrush
luxury apartments in jacksonville fl,1000,27,2.76,730.0,Easy,Commercial,Luxury,Jacksonville,Yes,Yes,T1,5,Long Tail,Yes,Local intent,Semrush
renters insurance jacksonville fl,1000,27,15.92,730.0,Easy,Informational,Renter Education,Jacksonville,Yes,Yes,T1,4,Informational,Yes,Local intent,Semrush
the point at town center,1000,28,1.34,720.0,Easy,Commercial,General / Other,Jacksonville,Yes,Yes,T1,5,Long Tail,Yes,Local intent,Semrush
the retreat east,1000,28,1.37,720.0,Easy,Commercial,General / Other,Jacksonville,No,Yes,T1,3,Long Tail,No,No local relevance,Semrush
artea apartments,1000,29,0.92,710.0,Easy,Commercial,City + Apartments,Jacksonville,No,Yes,T1,2,Long Tail,No,No local relevance,Semrush
income based apartments jacksonville fl,1000,33,1.17,670.0,Medium,Commercial,Price / Budget,Jacksonville,Yes,Yes,T1,5,Long Tail,Yes,Local intent,Semrush
portiva apartments,1000,33,0.57,670.0,Medium,Commercial,City + Apartments,Jacksonville,No,Yes,T1,2,Long Tail,No,No local relevance,Semrush
sorrel apartments,880,24,1.38,668.8,Easy,Navigational,Branded,Jacksonville,No,Yes,T1,2,Quick Win,Yes,Own brand,Semrush
