Keyword,Volume,KD,CPC,Opportunity Score,Difficulty,Intent,Primary Category,Cities,Long-Tail,Live Market,Tier,Word Count,Content Tier,Relevant,Relevance Note,Data Source
centerview at crossroads,1900,31,1.35,1311.0,Medium,Navigational,Competitor (Centerview at Crossroads),Raleigh,No,Yes,T1,3,Gap,Yes,Top competitor - comparison/gap,Semrush
townhomes for rent raleigh nc,1900,34,1.11,1254.0,Medium,Commercial,Property / Renter Type,Raleigh,Yes,Yes,T1,5,Long Tail,Yes,Local intent,Semrush
apartments in raleigh,1600,40,1.62,960.0,Medium,Commercial,City + Apartments,Raleigh,No,Yes,T1,3,Long Tail,Yes,Local intent,Semrush
villages at raleigh beach,1300,27,1.74,949.0,Easy,Navigational,Branded,Raleigh,Yes,Yes,T1,4,Quick Win,Yes,Own brand,Semrush
downtown raleigh apartments,1600,45,2.37,880.0,Medium,Commercial,City + Apartments,Raleigh,No,Yes,T1,3,Long Tail,Yes,Local intent,Semrush
inexpensive apartments in raleigh nc,1000,20,1.38,800.0,Easy,Commercial,Price / Budget,Raleigh,Yes,Yes,T1,5,Long Tail,Yes,Local intent,Semrush
village walk apartments,1000,23,0.69,770.0,Easy,Commercial,City + Apartments,Raleigh,No,Yes,T1,3,Long Tail,No,No local relevance,Semrush
income based apartments raleigh nc,1000,25,1.61,750.0,Easy,Commercial,Price / Budget,Raleigh,Yes,Yes,T1,5,Long Tail,Yes,Local intent,Semrush
studio apartments raleigh nc,1000,27,1.37,730.0,Easy,Commercial,Bedroom Type,Raleigh,Yes,Yes,T1,4,Long Tail,Yes,Local intent,Semrush
cheap apartments in raleigh,880,28,1.38,633.6,Easy,Commercial,Price / Budget,Raleigh,Yes,Yes,T1,4,Long Tail,Yes,Local intent,Semrush
the summit at avent ferry,720,26,0.89,532.8,Easy,Commercial,Out of Market,Raleigh,Yes,Yes,T1,5,Long Tail,No,Wrong market/submarket,Semrush
berkshire village district apartments,720,30,0.82,504.0,Easy,Navigational,Competitor (Berkshire Village District),Raleigh,Yes,Yes,T1,4,Gap,Yes,Top competitor - comparison/gap,Semrush
cheap apartments in raleigh nc,720,37,1.28,453.6,Medium,Commercial,Price / Budget,Raleigh,Yes,Yes,T1,5,Long Tail,Yes,Local intent,Semrush
1 bedroom apartments raleigh nc,590,24,2.31,448.4,Easy,Commercial,Bedroom Type,Raleigh,Yes,Yes,T1,5,Long Tail,Yes,Local intent,Semrush
2 bedroom apartments raleigh nc,590,24,2.73,448.4,Easy,Commercial,Bedroom Type,Raleigh,Yes,Yes,T1,5,Long Tail,Yes,Local intent,Semrush
luxury apartments raleigh nc,1000,57,2.5,430.0,Hard,Commercial,Luxury,Raleigh,Yes,Yes,T1,4,Long Tail,Yes,Local intent,Semrush
616 at the village,590,28,0.97,424.8,Easy,Navigational,Competitor (616 at the Village),Raleigh,Yes,Yes,T1,4,Gap,Yes,Top competitor - comparison/gap,Semrush
affordable apartments in raleigh nc,590,28,1.38,424.8,Easy,Commercial,Price / Budget,Raleigh,Yes,Yes,T1,5,Long Tail,Yes,Local intent,Semrush
berkshire village district,590,31,0.87,407.1,Medium,Navigational,Competitor (Berkshire Village District),Raleigh,No,Yes,T1,3,Gap,Yes,Top competitor - comparison/gap,Semrush
the villages at mccullers walk apartments,480,32,1.03,326.4,Medium,Navigational,Competitor (Villages at McCullers Walk),Raleigh,Yes,Yes,T2,6,Gap,Yes,Top competitor - comparison/gap,Semrush
3 bedroom apartments raleigh nc,390,17,2.7,323.7,Easy,Commercial,Bedroom Type,Raleigh,Yes,Yes,T2,5,Long Tail,Yes,Local intent,Semrush
cost of living raleigh nc,480,34,0.72,316.8,Medium,Commercial,Price / Budget,Raleigh,Yes,Yes,T2,5,Long Tail,Yes,Local intent,Semrush
efficiency apartments in raleigh nc,390,22,1.37,304.2,Easy,Commercial,Bedroom Type,Raleigh,Yes,Yes,T2,5,Long Tail,Yes,Local intent,Semrush
the villages at mccullers walk,390,27,1.41,284.7,Easy,Navigational,Competitor (Villages at McCullers Walk),Raleigh,Yes,Yes,T2,5,Gap,Yes,Top competitor - comparison/gap,Semrush
kasa village district raleigh,390,28,1.91,280.8,Easy,Navigational,Competitor (Village District comps),Raleigh,Yes,Yes,T2,4,Gap,Yes,Top competitor - comparison/gap,Semrush
apartments knightdale nc,590,53,2.18,277.3,Hard,Commercial,City + Apartments,Raleigh,No,Yes,T1,3,Long Tail,Yes,Local intent,Semrush
616 at the village raleigh,320,26,0.95,236.8,Easy,Navigational,Competitor (616 at the Village),Raleigh,Yes,Yes,T2,5,Gap,Yes,Top competitor - comparison/gap,Semrush
marshall park apartments & townhomes raleigh,390,40,1.22,234.0,Medium,Commercial,Property / Renter Type,Raleigh,Yes,Yes,T2,6,Long Tail,Yes,Local intent,Semrush
apartments in north raleigh,390,45,3.21,214.5,Medium,Commercial,Out of Market,Raleigh,Yes,Yes,T2,4,Long Tail,No,Wrong market/submarket,Semrush
villages at mccullers walk,320,33,1.23,214.4,Medium,Navigational,Competitor (Villages at McCullers Walk),Raleigh,Yes,Yes,T2,4,Gap,Yes,Top competitor - comparison/gap,Semrush
moving to raleigh nc,260,19,1.5,210.6,Easy,Informational,Renter Education,Raleigh,Yes,Yes,T2,4,Informational,Yes,Local intent,Semrush
pet friendly apartments raleigh nc,260,20,2.19,208.0,Easy,Commercial,Pet Friendly,Raleigh,Yes,Yes,T2,5,Long Tail,Yes,Local intent,Semrush
the village in raleigh nc,260,28,0.79,187.2,Easy,Commercial,General / Other,Raleigh,Yes,Yes,T2,5,Long Tail,Yes,Local intent,Semrush
mccullers walk,210,14,0.89,180.6,Very Easy,Navigational,Competitor (Villages at McCullers Walk),Raleigh,No,Yes,T2,2,Gap,Yes,Top competitor - comparison/gap,Semrush
north bend townhomes raleigh,210,18,0.6,172.2,Easy,Commercial,Property / Renter Type,Raleigh,Yes,Yes,T2,4,Long Tail,Yes,Local intent,Semrush
marshall park raleigh,260,34,1.04,171.6,Medium,Commercial,General / Other,Raleigh,No,Yes,T2,3,Long Tail,Yes,Local intent,Semrush
the village apartments raleigh nc,210,25,1.63,157.5,Easy,Commercial,City + Apartments,Raleigh,Yes,Yes,T2,5,Long Tail,Yes,Local intent,Semrush
the villages at raleigh beach,210,26,2.6,155.4,Easy,Navigational,Branded,Raleigh,Yes,Yes,T2,5,Quick Win,Yes,Own brand,Semrush
apartments near downtown raleigh,320,52,2.72,153.6,Hard,Transactional,Near Landmark,Raleigh,Yes,Yes,T2,4,Long Tail,Yes,Local intent,Semrush
muirfield village apartments raleigh,210,27,0.8,153.3,Easy,Commercial,City + Apartments,Raleigh,Yes,Yes,T2,4,Long Tail,Yes,Local intent,Semrush
